0.000000,0.000000,0.000000,149595999999.994080,29780.000000,0.000000,-149595999999.994080,29780.000000,0.000000,
0.000000,0.296555,0.000000,149584201154.430817,1878264558.810977,0.000000,-149584201154.430817,1878264558.810977,0.000000,
0.000000,2.372330,0.000000,149548807597.881042,3756203069.180216,0.000000,-149548807597.881042,3756203069.180216,0.000000,
0.000000,8.006236,0.000000,149489824903.350159,5633549093.849707,0.000000,-149489824903.350159,5633549093.849707,0.000000,
0.000000,18.976627,0.000000,149407262358.212219,7510006508.527727,0.000000,-149407262358.212219,7510006508.527727,0.000000,
0.000000,37.061019,0.000000,149301132962.758484,9385279328.355989,0.000000,-149301132962.758484,9385279328.355989,0.000000,
0.000000,64.035812,0.000000,149171453428.194092,11259071754.353514,0.000000,-149171453428.194092,11259071754.353514,0.000000,
0.000000,101.676012,0.000000,149018244174.004700,13131088219.833075,0.000000,-149018244174.004700,13131088219.833075,0.000000,
0.000000,151.754950,0.000000,148841529324.786804,15001033436.781647,0.000000,-148841529324.786804,15001033436.781647,0.000000,
0.000000,216.044005,0.000000,148641336706.499115,16868612442.198414,0.000000,-148641336706.499115,16868612442.198414,0.000000,
0.000000,296.312327,0.000000,148417697842.104004,18733530644.383160,0.000000,-148417697842.104004,18733530644.383160,0.000000,
0.000000,394.326559,0.000000,148170647946.685028,20595493869.164162,0.000000,-148170647946.685028,20595493869.164162,0.000000,
0.000000,511.850558,0.000000,147900225921.926331,22454208406.069176,0.000000,-147900225921.926331,22454208406.069176,0.000000,
0.000000,650.645120,0.000000,147606474350.074860,24309381054.415974,0.000000,-147606474350.074860,24309381054.415974,0.000000,
0.000000,812.467704,0.000000,147289439487.281250,26160719169.332932,0.000000,-147289439487.281250,26160719169.332932,0.000000,
0.000000,999.072154,0.000000,146949171256.415802,28007930707.688305,0.000000,-146949171256.415802,28007930707.688305,0.000000,
0.000000,1212.208426,0.000000,146585723239.276855,29850724273.930519,0.000000,-146585723239.276855,29850724273.930519,0.000000,
0.000000,1453.622311,0.000000,146199152668.235413,31688809165.826305,0.000000,-146199152668.235413,31688809165.826305,0.000000,
0.000000,1725.055164,0.000000,145789520417.313934,33521895420.093872,0.000000,-145789520417.313934,33521895420.093872,0.000000,
0.000000,2028.243627,0.000000,145356890992.702423,35349693857.922867,0.000000,-145356890992.702423,35349693857.922867,0.000000,
0.000000,2364.919361,0.000000,144901332522.707825,37171916130.373352,0.000000,-144901332522.707825,37171916130.373352,0.000000,
0.000000,2736.808769,0.000000,144422916747.123718,38988274763.644150,0.000000,-144422916747.123718,38988274763.644150,0.000000,
0.000000,3145.632727,0.000000,143921719006.055969,40798483204.212509,0.000000,-143921719006.055969,40798483204.212509,0.000000,
0.000000,3593.106317,0.000000,143397818228.174469,42602255863.827957,0.000000,-143397818228.174469,42602255863.827957,0.000000,
0.000000,4080.938552,0.000000,142851296918.395813,44399308164.355240,0.000000,-142851296918.395813,44399308164.355240,0.000000,
0.000000,4610.832111,0.000000,142282241145.049377,46189356582.472458,0.000000,-142282241145.049377,46189356582.472458,0.000000,
0.000000,5184.483073,0.000000,141690740526.424377,47972118694.191673,0.000000,-141690740526.424377,47972118694.191673,0.000000,
0.000000,5803.580645,0.000000,141076888216.814240,49747313219.225784,0.000000,-141076888216.814240,49747313219.225784,0.000000,
0.000000,6469.806904,0.000000,140440780891.992859,51514660065.167007,0.000000,-140440780891.992859,51514660065.167007,0.000000,
0.000000,7184.836527,0.000000,139782518734.127960,53273880371.489655,0.000000,-139782518734.127960,53273880371.489655,0.000000,
0.000000,7950.336529,0.000000,139102205416.166443,55024696553.362587,0.000000,-139102205416.166443,55024696553.362587,0.000000,
0.000000,8767.966005,0.000000,138399948085.657043,56766832345.262016,0.000000,-138399948085.657043,56766832345.262016,0.000000,
0.000000,9639.375863,0.000000,137675857348.044250,58500012844.385719,0.000000,-137675857348.044250,58500012844.385719,0.000000,
0.000000,10566.208571,0.000000,136930047249.424438,60223964553.850586,0.000000,-136930047249.424438,60223964553.850586,0.000000,
0.000000,11550.097892,0.000000,136162635258.730194,61938415425.684181,0.000000,-136162635258.730194,61938415425.684181,0.000000,
0.000000,12592.668635,0.000000,135373742249.431046,63643094903.580940,0.000000,-135373742249.431046,63643094903.580940,0.000000,
0.000000,13695.536392,0.000000,134563492480.667847,65337733965.441917,0.000000,-134563492480.667847,65337733965.441917,0.000000,
0.000000,14860.307289,0.000000,133732013577.854675,67022065165.662430,0.000000,-133732013577.854675,67022065165.662430,0.000000,
0.000000,16088.577731,0.000000,132879436512.777161,68695822677.195236,0.000000,-132879436512.777161,68695822677.195236,0.000000,
0.000000,17381.934154,0.000000,132005895583.153107,70358742333.346222,0.000000,-132005895583.153107,70358742333.346222,0.000000,
0.000000,18741.952772,0.000000,131111528391.671951,72010561669.328842,0.000000,-131111528391.671951,72010561669.328842,0.000000,
0.000000,20170.199329,0.000000,130196475824.509842,73651019963.544449,0.000000,-130196475824.509842,73651019963.544449,0.000000,
0.000000,21668.228855,0.000000,129260882029.361023,75279858278.600739,0.000000,-129260882029.361023,75279858278.600739,0.000000,
0.000000,23237.585423,0.000000,128304894392.914719,76896819502.059875,0.000000,-128304894392.914719,76896819502.059875,0.000000,
0.000000,24879.801899,0.000000,127328663517.862991,78501648386.893204,0.000000,-127328663517.862991,78501648386.893204,0.000000,
0.000000,26596.399708,0.000000,126332343199.375961,80094091591.651520,0.000000,-126332343199.375961,80094091591.651520,0.000000,
0.000000,28388.888591,0.000000,125316090401.091537,81673897720.354019,0.000000,-125316090401.091537,81673897720.354019,0.000000,
